id,eng_lemma,swe_lemma,status,pos,src
GF161,block, hindra,gold,V,GF
GF162,block,block,gold,N,GF
GF163,blueprint,blåkopia,gold,N,GF
GF165,book, boka,gold,V,GF
GF168,boot, ladda,gold,V,GF
GF169,border, gränsa,gold,V,GF
GF170,border,gräns,gold,N,GF
GF171,bot,bot,gold,N,GF
GF172,bottleneck,flaskhals,gold,N,GF
GF173,bound, gränsa,gold,V,GF
GF174,boundary,gräns,gold,N,GF
GF175,branch, grena,gold,V,GF
GF176,branch,gren,gold,N,GF
GF177,breadth,bredd,gold,N,GF
GF178,bridge,brygga,gold,N,GF
GF179,broker,agent,gold,N,GF
GF180,bug,bugg,gold,N,GF
GF181,build, bygga,gold,V,GF
GF182,bulletin,rapport,gold,N,GF
GF183,bus,buss,gold,N,GF
GF185,business,företag,gold,N,GF
GF186,byte,byte,gold,N,GF
GF187,cable,kabel,gold,N,GF
GF189,cache, gömma,gold,V,GF
GF191,calculation,beräkning,gold,N,GF
GF192,calculator,miniräknare,gold,N,GF
GF193,calculus,analys,gold,N,GF
GF194,call, anropa,gold,V,GF
GF195,call, kalla,gold,V,GF
GF196,call,krav,gold,N,GF
GF197,camera,kamera,gold,N,GF
GF198,capability,kompetens,gold,N,GF
GF199,capacity,kapacitet,gold,N,GF
GF200,capsule,kapsel,gold,N,GF
GF202,capture, fånga,gold,V,GF
GF204,card,kort,gold,N,GF
GF205,carriage,vagn,gold,N,GF
GF206,carrier,bärare,gold,N,GF
GF207,cartridge,patron,gold,N,GF
GF208,cassette,kassett,gold,N,GF
GF209,categorical,kategorisk,gold,A,GF
GF210,category,kategori,gold,N,GF
GF211,cathode,katod,gold,N,GF
GF212,cell,cell,gold,N,GF
GF213,central,central,gold,N,GF
GF214,challenge, utmana,gold,V,GF
GF215,challenge,utmaning,gold,N,GF
GF216,change, ändra,gold,V,GF
GF217,channel,kanal,gold,N,GF
GF218,character,karaktär,gold,N,GF
GF219,characteristic,karaktäristisk,gold,A,GF
GF220,chat,prat,gold,N,GF
GF222,check, kontrollera,gold,V,GF
GF223,check,test,gold,N,GF
GF225,cipher,chiffer,gold,N,GF
GF227,circuit,krets,gold,N,GF
GF229,class,klass,gold,N,GF
GF230,classification,klassificering,gold,N,GF
GF231,classifier,klassificerare,gold,N,GF
GF232,classless,klasslös,gold,A,GF
GF233,classroom,klassrum,gold,N,GF
GF234,click, klicka,gold,V,GF
GF235,client,klient,gold,N,GF
GF236,clock, klocka,gold,V,GF
GF237,clock,klocka,gold,N,GF
GF238,close, stänga,gold,V,GF
GF239,closure,hölje,gold,N,GF
GF241,cloud,moln,gold,N,GF
GF242,cluster,kluster,gold,N,GF
GF245,code, koda,gold,V,GF
GF246,code,kod,gold,N,GF
GF249,coherency,sammanhang,gold,N,GF
GF250,collection,samling,gold,N,GF
GF251,collision,kollision,gold,N,GF
GF252,colour,färg,gold,N,GF
GF253,column,kolumn,gold,N,GF
GF254,combinatorial,kombinatorisk,gold,A,GF
GF255,comma,komma,gold,N,GF
GF256,command, kräva,gold,V,GF
GF257,command,kommando,gold,N,GF
GF259,comment,kommentar,gold,N,GF
GF260,commercial,kommersiell,gold,A,GF
GF261,commercial,reklamfilm,gold,N,GF
GF262,commission,kommission,gold,N,GF
GF263,common,vanlig,gold,A,GF
GF264,communicate, kommunicera,gold,V,GF
GF266,communication,kommunikation,gold,N,GF
GF268,community,grupp,gold,N,GF
GF269,comparable,jämförbar,gold,A,GF
GF270,comparison,jämförelse,gold,N,GF
GF271,compatibility,förenlighet,gold,N,GF
GF272,compatible,kompatibel,gold,A,GF
GF273,compilation,kompilering,gold,N,GF
GF274,compile, kompilera,gold,V,GF
GF277,compiler,kompilator,gold,N,GF
GF278,complement, komplettera,gold,V,GF
GF279,complete, avsluta,gold,V,GF
GF280,completion,komplettering,gold,N,GF
GF281,complex,komplex,gold,A,GF
GF282,complex,komplex,gold,N,GF
GF281,complex,komplex,gold,A,GF
GF282,complex,komplex,gold,N,GF
GF284,complexity,komplexitet,gold,N,GF
GF285,component,tillhörande,gold,A,GF
GF286,component,komponent,gold,N,GF
GF287,compose, komponera,gold,V,GF
GF288,composition,komposition,gold,N,GF
GF289,comprehend, begripa,gold,V,GF
GF290,compulsory,obligatorisk,gold,A,GF
GF292,computable,beräkningsbar,gold,A,GF
GF293,computation,beräkning,gold,N,GF
GF294,computational,beräkningsmässig,gold,A,GF
GF298,compute, beräkna,gold,V,GF
GF318,computer,dator,gold,N,GF
GF321,concept,koncept,gold,N,GF
GF322,conceptual,begreppsmässig,gold,A,GF
GF323,conceptualization,begreppsmässighet,gold,N,GF
GF324,concrete,konkret,gold,A,GF
GF325,concurrency,samtidighet,gold,N,GF
GF326,concurrent,samverkande,gold,A,GF
GF327,condition,villkor,gold,N,GF
GF328,conditional,villkorlig,gold,A,GF
GF329,conference,konferens,gold,N,GF
GF331,configuration,konfiguration,gold,N,GF
GF333,congestion,stockning,gold,N,GF
GF334,congress,kongress,gold,N,GF
GF335,conjunction,konjunktion,gold,N,GF
GF336,connect, ansluta,gold,V,GF
GF337,connection,anslutning,gold,N,GF
GF338,connector,kopplingsdon,gold,N,GF
GF339,conquer, erövra,gold,V,GF
GF340,consistent,konsekvent,gold,A,GF
GF341,console,konsol,gold,N,GF
GF342,constant,konstant,gold,A,GF
GF343,constant,konstant,gold,N,GF
GF342,constant,konstant,gold,A,GF
GF343,constant,konstant,gold,N,GF
GF344,constrain, begränsa,gold,V,GF
GF345,constraint,begränsning,gold,N,GF
GF346,construct, konstruera,gold,V,GF
GF347,construction,konstruktion,gold,N,GF
GF348,constructor,konstruktor,gold,N,GF
GF349,consumer,konsument,gold,N,GF
GF351,container,behållare,gold,N,GF
GF352,content,innehåll,gold,N,GF
GF353,context,kontext,gold,N,GF
GF355,continual,ständig,gold,A,GF
GF356,continuation,fortsättning,gold,N,GF
GF357,continuity,kontinuitet,gold,N,GF
GF358,continuous,kontinuerlig,gold,A,GF
GF363,control, kontrollera,gold,V,GF
GF364,control,kontroll,gold,N,GF
GF365,controller,kontrollant,gold,N,GF
GF366,convention,konvention,gold,N,GF
GF367,convergence,konvergens,gold,N,GF
GF368,convert, omvandla,gold,V,GF
GF369,converter,konverterare,gold,N,GF
GF370,cooling,kylning,gold,N,GF
GF371,cooperative,samverkande,gold,A,GF
GF372,coordinate, samordna,gold,V,GF
GF373,copy, kopiera,gold,V,GF
GF374,copyright,upphovsrätt,gold,N,GF
GF376,core,kärna,gold,N,GF
GF377,corporation,bolag,gold,N,GF
GF378,correction,rättelse,gold,N,GF
GF379,correctness,korrekthet,gold,N,GF
GF380,cost,kostnad,gold,N,GF
GF381,countermeasure,motåtgärd,gold,N,GF
GF382,coupler,koppling,gold,N,GF
GF384,course,kurs,gold,N,GF
GF385,covariance,kovarians,gold,N,GF
GF386,create, skapa,gold,V,GF
GF387,creativity,kreativitet,gold,N,GF
GF388,cross,kors,gold,N,GF
GF389,crosstalk,överhörning,gold,N,GF
GF390,cryptanalysis,kryptanalys,gold,N,GF
GF391,cryptography,kryptografi,gold,N,GF
GF392,cryptology,kryptologi,gold,N,GF
GF393,crystal,kristall,gold,N,GF
GF394,current,nuvarande,gold,A,GF
GF395,current,ström,gold,N,GF
GF396,curve, svänga,gold,V,GF
GF397,curve,kurva,gold,N,GF
GF398,customer,kund,gold,N,GF
GF401,cybernetics,cybernetik,gold,N,GF
GF402,cyberspace,cyberrymd,gold,N,GF
GF403,cycle,cykel,gold,N,GF
GF404,cyclic,cyklisk,gold,A,GF
GF405,cylinder,cylinder,gold,N,GF
GF419,data,data,gold,N,GF
GF421,database,databas,gold,N,GF
GF422,day,dag,gold,N,GF
GF423,death,död,gold,N,GF
GF425,decide, bestämma,gold,V,GF
GF426,decimal,decimal,gold,N,GF
GF427,declaration,deklaration,gold,N,GF
GF428,declare, deklarera,gold,V,GF
GF429,decompose, nedbryta,gold,V,GF
GF430,default,standard,gold,N,GF
GF431,define, definiera,gold,V,GF
GF432,definition,definition,gold,N,GF
GF433,definitive,avgörande,gold,A,GF
GF434,degree,examen,gold,N,GF
GF435,delay,fördröjning,gold,N,GF
GF436,delete, radera,gold,V,GF
GF437,delivery,leverans,gold,N,GF
GF438,denial,avslag,gold,N,GF
GF439,density,densitet,gold,N,GF
GF440,dependency,beroende,gold,N,GF
GF441,depth,djup,gold,N,GF
GF442,derive, derivera,gold,V,GF
GF443,description,beskrivning,gold,N,GF
GF444,descriptive,beskrivande,gold,A,GF
GF447,design, designa,gold,V,GF
GF448,design,design,gold,N,GF
GF449,desirable,önskvärd,gold,A,GF
GF451,desktop,skrivbord,gold,N,GF
GF452,detect, upptäcka,gold,V,GF
GF453,detection,upptäckt,gold,N,GF
GF454,determine, fastställa,gold,V,GF
GF455,deterministic,deterministisk,gold,A,GF
GF456,develop, utveckla,gold,V,GF
GF457,developer,utvecklare,gold,N,GF
GF460,development,utveckling,gold,N,GF
GF462,device,enhet,gold,N,GF
GF463,diagram,diagram,gold,N,GF
GF464,dictionary,lexikon,gold,N,GF
GF465,different,annorlunda,gold,A,GF
GF466,differentiable,differentierbar,gold,A,GF
GF468,digital,digital,gold,A,GF
GF470,dimension,dimension,gold,N,GF
GF472,diode,diod,gold,N,GF
GF473,directional,riktad,gold,A,GF
GF474,directory,katalog,gold,N,GF
GF475,disaster,katastrof,gold,N,GF
GF476,disc,disk,gold,N,GF
GF477,discovery,upptäckt,gold,N,GF
GF478,discreet,diskret,gold,A,GF
GF479,discrete,diskret,gold,A,GF
GF481,discretionary,oinskränkt,gold,A,GF
GF482,discuss, diskutera,gold,V,GF
GF483,disjunction,disjunktion,gold,N,GF
GF484,disk,disk,gold,N,GF
GF485,display, uppvisa,gold,V,GF
GF486,display,bildskärm,gold,N,GF
GF487,distribute, distribuera,gold,V,GF
GF489,distribution,distribution,gold,N,GF
GF490,distributor,återförsäljare,gold,N,GF
GF491,divide, dela,gold,V,GF
GF492,division,division,gold,N,GF
GF493,document, dokumentera,gold,V,GF
GF494,document,dokument,gold,N,GF
GF495,documentation,dokumentation,gold,N,GF
GF498,domain,domän,gold,N,GF
GF500,dot,punkt,gold,N,GF
GF501,double, dubbla,gold,V,GF
GF502,double,dubbel,gold,N,GF
GF503,download, hämta,gold,V,GF
GF504,download,nedladdning,gold,N,GF
GF505,drag, dra,gold,V,GF
GF506,drive,disk,gold,N,GF
GF507,drop, släppa,gold,V,GF
GF508,drop,fall,gold,N,GF
GF509,dynamic,dynamisk,gold,A,GF
GF511,dynamic,dynamik,gold,N,GF
GF512,dynamics,dynamik,gold,N,GF
GF513,edition,upplaga,gold,N,GF
GF514,editor,redigerare,gold,N,GF
GF515,education,utbildning,gold,N,GF
GF518,effect, genomföra,gold,V,GF
GF519,effect,effekt,gold,N,GF
GF520,effective,effektiv,gold,A,GF
GF521,efficient,effektiv,gold,A,GF
GF522,electrical,elektrisk,gold,A,GF
GF523,electricity,elektricitet,gold,N,GF
GF524,electromagnetic,elektromagnetisk,gold,A,GF
GF526,electronic,elektronisk,gold,A,GF
GF527,electronics,elektronik,gold,N,GF
GF528,element,element,gold,N,GF
GF529,elliptic,elliptisk,gold,A,GF
GF530,embed, inbädda,gold,V,GF
GF531,emergency,kris,gold,N,GF
GF532,empirical,empirisk,gold,A,GF
GF533,employee,anställd,gold,N,GF
GF535,enable, möjliggöra,gold,V,GF
GF536,encapsulation,inkapsling,gold,N,GF
GF537,encode, koda,gold,V,GF
GF538,encrypt, kryptera,gold,V,GF
GF539,encryption,kryptering,gold,N,GF
GF541,end, avsluta,gold,V,GF
GF542,end,slut,gold,N,GF
GF543,energy,energi,gold,N,GF
GF544,engine,motor,gold,N,GF
GF545,engineering,ingenjörsvetenskap,gold,N,GF
GF546,enhance, höja,gold,V,GF
GF547,enhancement,förbättring,gold,N,GF
GF548,entity,entitet,gold,N,GF
GF550,entry,inträde,gold,N,GF
GF551,environment,miljö,gold,N,GF
GF552,equalizer,utjämnare,gold,N,GF
GF553,equation,ekvation,gold,N,GF
GF554,equipment,utrustning,gold,N,GF
GF555,error,fel,gold,N,GF
GF556,escape, fly,gold,V,GF
GF557,escape,flykt,gold,N,GF
GF558,essential,essentiell,gold,A,GF
GF559,essential,väsentlighet,gold,N,GF
GF560,establish, etablera,gold,V,GF
GF561,estimate, estimera,gold,V,GF
GF564,ethics,etik,gold,N,GF
GF565,evaluate, evaluera,gold,V,GF
GF566,evaluation,evaluering,gold,N,GF
GF567,event,händelse,gold,N,GF
GF568,evolution,evolution,gold,N,GF
GF570,examination,examination,gold,N,GF
GF571,example,exempel,gold,N,GF
GF573,exception,undantag,gold,N,GF
GF574,exchange, byta,gold,V,GF
GF575,exchange,utbyte,gold,N,GF
GF577,execute, exekvera,gold,V,GF
GF578,execution,exekvering,gold,N,GF
GF579,exemplify, exemplifiera,gold,V,GF
GF580,exercise,övning,gold,N,GF
GF581,expand, utöka,gold,V,GF
GF583,expansion,expansion,gold,N,GF
GF584,expense,utgift,gold,N,GF
GF585,experience, erfarenhet,gold,V,GF
GF586,experiment, experimentera,gold,V,GF
GF587,expert,expert,gold,N,GF
GF588,explicit,tydlig,gold,A,GF
GF589,explore, utforska,gold,V,GF
GF590,express, uttrycka,gold,V,GF
GF591,expression,uttryck,gold,N,GF
GF592,extend, utöka,gold,V,GF
GF593,extension,förlängning,gold,N,GF
GF594,exterior,yttre,gold,A,GF
GF595,exterior,yttre,gold,N,GF
GF594,exterior,yttre,gold,A,GF
GF595,exterior,yttre,gold,N,GF
GF596,external,extern,gold,A,GF
GF597,extract, extrahera,gold,V,GF
GF598,extract,utdrag,gold,N,GF
GF599,extraction,extraktion,gold,N,GF
GF600,extreme,extrem,gold,A,GF
GF601,facility,möjlighet,gold,N,GF
GF602,factor,faktor,gold,N,GF
GF603,factory,fabrik,gold,N,GF
GF604,false,falsk,gold,A,GF
GF605,fan, fläkta,gold,V,GF
GF606,fan,fläkt,gold,N,GF
GF607,fast,snabb,gold,A,GF
GF608,fault,fel,gold,N,GF
GF610,feature,funktion,gold,N,GF
GF611,feed,flöde,gold,N,GF
GF612,field,fält,gold,N,GF
GF615,file, arkivera,gold,V,GF
GF616,file,fil,gold,N,GF
GF618,filing,arkivering,gold,N,GF
GF619,filter, filtrera,gold,V,GF
GF620,finance, finansiera,gold,V,GF
GF621,finite,ändlig,gold,A,GF
GF622,firewall,brandvägg,gold,N,GF
GF625,flash, blinka,gold,V,GF
GF626,flash,sken,gold,N,GF
GF630,flow,flöde,gold,N,GF
GF631,fluid,flytande,gold,A,GF
GF632,fluid,vätska,gold,N,GF
GF633,focus, fokusera,gold,V,GF
GF634,forgery,förfalskning,gold,N,GF
GF636,form,formulär,gold,N,GF
GF637,formal,formell,gold,A,GF
GF639,format,format,gold,N,GF
GF640,formula,formel,gold,N,GF
GF641,formulate, formulera,gold,V,GF
GF642,forwarding,spedition,gold,N,GF
GF643,foundation,grund,gold,N,GF
GF644,frame,ram,gold,N,GF
GF645,framework,ramverk,gold,N,GF
GF646,free,fri,gold,A,GF
GF647,free, fria,gold,V,GF
GF648,frequency,frekvens,gold,N,GF
GF649,front,front,gold,N,GF
GF650,frontier,gräns,gold,N,GF
GF651,full,full,gold,A,GF
GF652,function, fungera,gold,V,GF
GF653,function,funktion,gold,N,GF
GF654,functional,funktionell,gold,A,GF
GF656,functionality,funktionalitet,gold,N,GF
GF657,fundamental,fundamental,gold,A,GF
GF658,fundamental,fundamental,gold,N,GF
GF657,fundamental,fundamental,gold,A,GF
GF658,fundamental,fundamental,gold,N,GF
GF659,future,framtida,gold,A,GF
GF662,game, spela,gold,V,GF
GF663,game,spel,gold,N,GF
GF665,garbage,skräp,gold,N,GF
GF666,gate,grind,gold,N,GF
GF667,gateway,port,gold,N,GF
GF668,general,allmän,gold,A,GF
GF669,generalization,generalisering,gold,N,GF
GF670,generalize, generalisera,gold,V,GF
GF671,generate, generera,gold,V,GF
GF672,generation,generation,gold,N,GF
GF673,generative,generativ,gold,A,GF
GF674,generic,generisk,gold,A,GF
GF675,genetic,generisk,gold,A,GF
GF676,geographic,geografisk,gold,A,GF
GF677,geography,geografi,gold,N,GF
GF678,geometric,geometrisk,gold,A,GF
GF679,geometry,geometri,gold,N,GF
GF680,gigabit,gigabit,gold,N,GF
GF681,gigabyte,gigabyte,gold,N,GF
GF682,global,global,gold,A,GF
GF684,globalization,globalisering,gold,N,GF
GF685,goal,mål,gold,N,GF
GF686,grammar,grammatik,gold,N,GF
GF688,graph,graf,gold,N,GF
GF689,graphic,grafisk,gold,A,GF
GF690,graphic,grafik,gold,N,GF
GF691,graphical,grafisk,gold,A,GF
GF695,grid,rutnät,gold,N,GF
GF696,group,grupp,gold,N,GF
GF697,guard,vakt,gold,N,GF
GF698,guideline,riktlinje,gold,N,GF
GF700,handshake,handskakning,gold,N,GF
GF701,hard,hård,gold,A,GF
GF702,hard,svår,gold,A,GF
GF708,hardware,hårdvara,gold,N,GF
GF711,head, leda,gold,V,GF
GF712,head,huvud,gold,N,GF
GF714,hertz,hertz,gold,N,GF
GF715,heuristic,heuristik,gold,N,GF
GF716,hide, dölja,gold,V,GF
GF717,hierarchical,hierarkisk,gold,A,GF
GF718,hierarchy,hierarki,gold,N,GF
GF719,high,hög,gold,A,GF
GF720,hint, antyda,gold,V,GF
GF721,hint,antydan,gold,N,GF
GF722,histogram,histogram,gold,N,GF
GF723,hit,träff,gold,N,GF
GF724,holding,innehav,gold,N,GF
GF726,host,värd,gold,N,GF
GF728,hub,centrum,gold,N,GF
GF729,human,människa,gold,N,GF
GF731,hybrid,hybrid,gold,N,GF
GF732,hyperlink,hyperlänk,gold,N,GF
GF733,hypertext,hypertext,gold,N,GF
GF735,identify, identifiera,gold,V,GF
GF736,identity,identitet,gold,N,GF
GF739,image, föreställa,gold,V,GF
GF740,image,bild,gold,N,GF
GF741,imagery,bildsamling,gold,N,GF
GF742,immutable,oföränderlig,gold,A,GF
GF743,impact,verkan,gold,N,GF
GF744,imperative,imperativ,gold,A,GF
GF746,implement, implementera,gold,V,GF
GF748,implementation,implementering,gold,N,GF
GF749,implication,implikation,gold,N,GF
GF750,improve, förbättra,gold,V,GF
GF751,improvement,förbättring,gold,N,GF
GF752,include, inkludera,gold,V,GF
GF754,independent,oberoende,gold,A,GF
GF755,index,index,gold,N,GF
GF756,indicator,indikator,gold,N,GF
GF757,indirect,indirekt,gold,A,GF
GF758,individual,individuell,gold,A,GF
GF759,individual,individ,gold,N,GF
GF760,induction,induktion,gold,N,GF
GF761,industrial,industriell,gold,A,GF
GF762,industry,industri,gold,N,GF
GF767,information,information,gold,N,GF
GF768,infrastructure,infrastruktur,gold,N,GF
GF769,inheritance,arv,gold,N,GF
GF770,initialization,initiering,gold,N,GF
GF772,initiative,initiativ,gold,N,GF
GF773,injection,injektion,gold,N,GF
GF774,input,indata,gold,N,GF
GF776,insertion,införande,gold,N,GF
GF777,inspection,granskning,gold,N,GF
GF778,instance,instans,gold,N,GF
GF779,institute, införa,gold,V,GF
GF780,institute,institut,gold,N,GF
GF782,instruction,instruktion,gold,N,GF
GF783,instrument,instrument,gold,N,GF
GF784,instrumentation,instrumentering,gold,N,GF
GF785,integer,heltal,gold,N,GF
GF786,integrate, integrera,gold,V,GF
GF789,integration,integration,gold,N,GF
GF790,integrity,integritet,gold,N,GF
GF791,intellectual,intellektuell,gold,A,GF
GF792,intelligence,intelligens,gold,N,GF
GF793,intelligent,intelligent,gold,A,GF
GF795,interaction,interaktion,gold,N,GF
GF796,interactive,interaktiv,gold,A,GF
GF797,interchange, växla,gold,V,GF
GF798,interchange,utbyte,gold,N,GF
GF799,interconnect, sammanlänka,gold,V,GF
GF800,interconnection,sammanlänkning,gold,N,GF
GF801,interdisciplinary,tvärvetenskaplig,gold,A,GF
GF804,interface,gränssnitt,gold,N,GF
GF805,interference,interferens,gold,N,GF
GF806,interior,inre,gold,A,GF
GF807,interior,inrede,gold,N,GF
GF808,interleave, interfoliera,gold,V,GF
GF809,intermediate,mellanliggande,gold,A,GF
GF810,internal,intern,gold,A,GF
GF811,international,internationell,gold,A,GF
GF812,internationalization,internationalisering,gold,N,GF
GF813,internationalize, internationalisera,gold,V,GF
GF815,interpret, interpretera,gold,V,GF
GF816,interpretation,tolkning,gold,N,GF
GF817,interrupt, avbryta,gold,V,GF
GF818,interruption,avbrott,gold,N,GF
GF819,interval,intervall,gold,N,GF
GF820,introduce, introducera,gold,V,GF
GF821,introduction,introduktion,gold,N,GF
GF822,intrusion,intrång,gold,N,GF
GF823,invariant,invariant,gold,A,GF
GF824,invocation,invokation,gold,N,GF
GF826,irregular,oregelbunden,gold,A,GF
GF827,issue,problem,gold,N,GF
GF828,iteration,iteration,gold,N,GF
GF829,iterative,iterativ,gold,A,GF
GF830,job,arbete,gold,N,GF
GF831,junction,förbindelse,gold,N,GF
GF832,kernel,kärna,gold,N,GF
GF834,keyboard,tangentbord,gold,N,GF
GF836,kilobit,kilobit,gold,N,GF
GF837,kilobyte,kilobyte,gold,N,GF
GF838,kilohertz,kilohertz,gold,N,GF
GF839,kind,sort,gold,N,GF
GF840,kit,verktyg,gold,N,GF
GF841,knowledge,kunskap,gold,N,GF
GF842,lab,labb,gold,N,GF
GF843,label, beteckna,gold,V,GF
GF844,label,etikett,gold,N,GF
GF847,language,språk,gold,N,GF
GF849,large,stor,gold,A,GF
GF850,laser,laser,gold,N,GF
GF851,law,lag,gold,N,GF
GF852,layer,lager,gold,N,GF
GF853,layout,layout,gold,N,GF
GF854,lazy,lat,gold,A,GF
GF855,learn, lära,gold,V,GF
GF857,learning,bildning,gold,N,GF
GF858,lecture,föreläsning,gold,N,GF
GF0,LED,lysdiod,gold,N,GF
GF859,letters,bokstäver,gold,N,GF
GF860,level,nivå,gold,N,GF
GF861,library,bibliotek,gold,N,GF
GF862,library,programbibliotek,gold,N,GF
GF863,licence,licens,gold,N,GF
GF864,license, licensiera,gold,V,GF
GF865,light,ljus,gold,N,GF
GF866,lightweight,lätt,gold,A,GF
GF867,limit, begränsa,gold,V,GF
GF868,limit,gräns,gold,N,GF
GF869,line,linje,gold,N,GF
GF870,linear,linjär,gold,A,GF
GF872,linguistics,språkvetenskap,gold,N,GF
GF873,link, knyta,gold,V,GF
GF874,link,länk,gold,N,GF
GF877,liquid,flytande,gold,A,GF
GF878,liquid,vätska,gold,N,GF
GF879,list, lista,gold,V,GF
GF880,list,lista,gold,N,GF
GF881,literature,litteratur,gold,N,GF
GF883,load, ladda,gold,V,GF
GF884,load,laddning,gold,N,GF
GF885,loader,lastare,gold,N,GF
