id,eng_lemma,swe_lemma,status,pos,src
ICT2497,power-down,avstängnings,silver,N?,ICT
ICT2501,power-save,energispar,silver,N?,ICT
ICT2511,pre-commercial,förkommersiell,silver,N?,ICT
ICT2521,pre-planning,förprojektering,silver,N?,ICT
ICT2565,problem-solving,problemlösning,silver,N?,ICT
ICT2632,publisher,utgivare,silver,N?,ICT
ICT2651,quasi-static,kvasistatiska,silver,N?,ICT
ICT2674,radio-based,radiobaserad,silver,N?,ICT
ICT2685,range,intervall,silver,N?,ICT
ICT2739,re-establishment,återupprättande,silver,N?,ICT
ICT2848,re-thinking,omprövning,silver,N?,ICT
ICT2824,resource-aware,resursmedveten,silver,N?,ICT
ICT2856,revenue,intäkter,silver,N?,ICT
ICT2877,robotic,robotik,silver,N?,ICT
ICT2886,round-trip,rundresa,silver,N?,ICT
ICT2904,satellite,satellit,silver,N?,ICT
ICT2927,scenario,scenarier,silver,N?,ICT
ICT2982,self-actualization,självförverkligande,silver,N?,ICT
ACM1363,Self-assessment,Självutvärdering,silver,N?,ACM
ICT2983,self-aware,självmedveten,silver,N?,ICT
ICT2985,self-configuring,självkonfigurerande,silver,N?,ICT
ICT2986,self-organization,självorganisering,silver,N?,ICT
ICT2987,self-organizing,självorganiserande,silver,N?,ICT
ICT2989,self-report,självrapport,silver,N?,ICT
ICT3003,sensor-based,sensorbaserad,silver,N?,ICT
ICT3021,server-based,serverbaserad,silver,N?,ICT
ICT3038,service-based,tjänstebaserad,silver,N?,ICT
ICT3066,short-range,kortdistans,silver,N?,ICT
ICT3120,slow-start,långsamstarten,silver,N?,ICT
ICT3126,small-scale,småskalig,silver,N?,ICT
ICT3146,socket,uttag,silver,N?,ICT
ICT3208,stand-alone,fristående,silver,N?,ICT
ICT3382,technology-based,teknikbaserade,silver,N?,ICT
ICT3437,three-way,trevägs,silver,N?,ICT
ICT3448,time-dependent,tidsberoende,silver,N?,ICT
ICT3449,time-division,tidsmultiplex,silver,N?,ICT
ICT3551,tutorial,handledning,silver,N?,ICT
ICT3555,two-way,tvåvägs,silver,N?,ICT
ICT3564,ultra-wideband,ultrabredbandsteknik,silver,N?,ICT
ICT3580,uni-directional,enkelriktad,silver,N?,ICT
ICT3626,user-friendly,användarvänlig,silver,N?,ICT
ICT3631,user-level,användarnivå,silver,N?,ICT
ICT3637,user-specific,användarspecifik,silver,N?,ICT
ICT3653,value-added,mervärde,silver,N?,ICT
ICT3668,vehicle,fordon,silver,N?,ICT
ICT3732,walkie-talkie,komradio,silver,N?,ICT
ICT3758,web-browser,webbläsare,silver,N?,ICT
ICT3766,well-defined,väldefinierad,silver,N?,ICT
ICT3825,work-groups,arbetsgrupper,silver,N?,ICT
